prod_id,ages,piece_count,set_name,prod_desc,prod_long_desc,theme_name,country,list_price,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating
75823,6-12,277,Bird Island Egg Heist,blah,blahblah,Angry Birds™,US,29.99,2.0,4.0,Average,4.5,4.0
75822,6-12,168,Piggy Plane Attack,blah,blahblah,Angry Birds™,US,19.99,2.0,4.0,Easy,5.0,4.0
75821,6-12,74,Piggy Car Escape,blah,blahblah,Angry Birds™,US,12.99,11.0,4.3,Easy,4.3,4.1
21030,12+,1032,United States Capitol Building,blah,blahblah,Architecture,US,99.99,23.0,3.6,Average,4.6,4.3
21035,12+,744,Solomon R. Guggenheim Museum®,blah,blahblah,Architecture,US,79.99,14.0,3.2,Challenging,4.6,4.1
21039,12+,597,Shanghai,blah,blahblah,Architecture,US,59.99,7.0,3.7,Average,4.9,4.4
21028,12+,598,New York City,blah,blahblah,Architecture,US,59.99,37.0,3.7,Average,4.2,4.1
21029,12+,780,Buckingham Palace,blah,blahblah,Architecture,US,49.99,24.0,4.4,Average,4.7,4.3
21034,12+,468,London,blah,blahblah,Architecture,US,39.99,23.0,3.6,Average,4.7,4.1
21033,12+,444,Chicago,blah,blahblah,Architecture,US,39.99,11.0,3.6,Average,4.8,4.5
21036,12+,386,Arc de Triomphe,blah,blahblah,Architecture,US,39.99,14.0,4.1,Average,4.4,3.6
21019,12+,321,The Eiffel Tower,blah,blahblah,Architecture,US,34.99,53.0,3.2,Average,4.6,4.4
21032,12+,361,Sydney,blah,blahblah,Architecture,US,29.99,7.0,4.2,Easy,4.6,4.2
17101,7-12,847,BOOST Creative Toolbox,blah,blahblah,BOOST,US,159.99,63.0,3.8,Average,3.4,3.5
41597,10+,708,Go Brick Me,blah,blahblah,BrickHeadz,US,29.99,13.0,4.7,Average,4.8,4.8
41614,10+,234,Owen & Blue,blah,blahblah,BrickHeadz,US,19.99,1.0,3.0,Easy,5.0,5.0
41613,10+,160,Mr. Incredible & Frozone,blah,blahblah,BrickHeadz,US,19.99,1.0,5.0,Very Easy,5.0,5.0
41609,10+,149,Chewbacca™,blah,blahblah,BrickHeadz,US,9.99,1.0,2.0,Very Easy,3.0,4.0
41608,10+,141,Han Solo™,blah,blahblah,BrickHeadz,US,9.99,1.0,2.0,Very Easy,4.0,4.0
